IATA,Name,City,Country,Timezone
DIU,Diu Airport,Diu,India,Asia/Kolkata
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,Asia/Kolkata
AKD,Akola Airport,,India,Asia/Kolkata
IXU,Aurangabad Airport,Aurangabad,India,Asia/Kolkata
BOM,Chhatrapati Shivaji International Airport,Mumbai,India,Asia/Kolkata
PAB,Bilaspur Airport,,India,Asia/Kolkata
BHJ,Bhuj Airport,Bhuj,India,Asia/Kolkata
IXG,Belgaum Airport,,India,Asia/Kolkata
BDQ,Vadodara Airport,Vadodara,India,Asia/Kolkata
BHO,Bhopal Airport,Bhopal,India,Asia/Kolkata
BHU,Bhavnagar Airport,Bhavnagar,India,Asia/Kolkata
NMB,Daman Airport,,India,Asia/Kolkata
GUX,Guna Airport,,India,Asia/Kolkata
HBX,Hubli Airport,Hubli,India,Asia/Kolkata
HSR,Rajkot International Airport,Rajkot,India,Asia/Kolkata
IDR,Devi Ahilyabai Holkar Airport,Indore,India,Asia/Kolkata
JLR,Jabalpur Airport,,India,Asia/Kolkata
JGA,Jamnagar Airport,Jamnagar,India,Asia/Kolkata
IXY,Kandla Airport,Kandla,India,Asia/Kolkata
HJR,Khajuraho Airport,Khajuraho,India,Asia/Kolkata
KLH,Kolhapur Airport,,India,Asia/Kolkata
IXK,Keshod Airport,,India,Asia/Kolkata
LTU,Murod Kond Airport,Latur,India,Asia/Kolkata
NDC,Nanded Airport,Nanded,India,Asia/Kolkata
NMI,Navi Mumbai International Airport,Navi Mumbai,India,Asia/Kolkata
NAG,Dr. Babasaheb Ambedkar International Airport,Naqpur,India,Asia/Kolkata
ISK,Ozar Airport,Nasik,India,Asia/Kolkata
PNQ,Pune Airport,Pune,India,Asia/Kolkata
PBD,Porbandar Airport,Porbandar,India,Asia/Kolkata
RTC,Ratnagiri Airport,,India,Asia/Kolkata
RAJ,Rajkot Airport,Rajkot,India,Asia/Kolkata
RPR,Raipur Airport,Raipur,India,Asia/Kolkata
SAG,Shirdi Airport,Kakadi,India,Asia/Kolkata
SSE,Solapur Airport,Solapur,India,Asia/Kolkata
STV,Surat Airport,,India,Asia/Kolkata
UDR,Maharana Pratap Airport,Udaipur,India,Asia/Kolkata
AZH,Azamgarh Airport,Azamgarh,India,Asia/Kolkata
IXV,Along Airport,,India,Asia/Kolkata
IXA,Agartala Airport,Agartala,India,Asia/Kolkata
AYJ,Ayodhya Airport,Ayodhya,India,Asia/Kolkata
IXB,Bagdogra Airport,Siliguri,India,Asia/Kolkata
RGH,Balurghat Airport,Balurghat,India,Asia/Kolkata
SHL,Shillong Airport,Shillong,India,Asia/Kolkata
VNS,Lal Bahadur Shastri Airport,Varanasi,India,Asia/Kolkata
BBI,Biju Patnaik Airport,Bhubaneswar,India,Asia/Kolkata
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,India,Asia/Kolkata
COH,Cooch Behar Airport,,India,Asia/Kolkata
CWK,Chitrakoot Airport,Chitrakoot,India,Asia/Kolkata
KNU,Kanpur Airport,Kanpur,India,Asia/Kolkata
DBD,Dhanbad Airport,,India,Asia/Kolkata
DBR,Darbhanga Airport,Darbhanga,India,Asia/Kolkata
DGH,Deoghar Airport,Deoghar,India,Asia/Kolkata
DEP,Daporijo Airport,Daporijo,India,Asia/Kolkata
GOP,Gorakhpur Airport,Gorakhpur,India,Asia/Kolkata
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,Asia/Kolkata
GAY,Gaya Airport,,India,Asia/Kolkata
HGI,Donyi Polo Airport,Itanagar,India,Asia/Kolkata
IMF,Imphal Airport,Imphal,India,Asia/Kolkata
JRG,Jharsuguda Airport,Jharsuguda,India,Asia/Kolkata
PYB,Jeypore Airport,Jeypore,India,Asia/Kolkata
IXW,Jamshedpur Airport,,India,Asia/Kolkata
JRH,Jorhat Airport,Jorhat,India,Asia/Kolkata
KBK,Kushinagar International Airport,Kushinagar,India,Asia/Kolkata
IXQ,Kamalpur Airport,,India,Asia/Kolkata
IXH,Kailashahar Airport,,India,Asia/Dhaka
IXS,Silchar Airport,Silchar,India,Asia/Kolkata
IXN,Khowai Airport,Khowai,India,Asia/Dhaka
AJL,Lengpui Airport,Aizawl,India,Asia/Kolkata
IXI,North Lakhimpur Airport,Lilabari,India,Asia/Kolkata
LDA,Malda Airport,Malda,India,Asia/Kolkata
DIB,Dibrugarh Airport,Dibrugarh,India,Asia/Kolkata
DMU,Dimapur Airport,Dimapur,India,Asia/Kolkata
MZU,Muzaffarpur Airport,,India,Asia/Kolkata
IXT,Pasighat Airport,Pasighat,India,Asia/Kolkata
PAT,Lok Nayak Jayaprakash Airport,Patna,India,Asia/Kolkata
PYG,Pakyong Airport,Pakyong,India,Asia/Kolkata
IXR,Birsa Munda Airport,Ranchi,India,Asia/Kolkata
RRK,Rourkela Airport,,India,Asia/Kolkata
RUP,Rupsi India Airport,,India,Asia/Kolkata
TEI,Tezu Airport,Tezu,India,Asia/Kolkata
TEZ,Tezpur Airport,,India,Asia/Kolkata
ZER,Zero Airport,,India,Asia/Kolkata
AGR,Agra Airport,,India,Asia/Kolkata
HRH,Dhanipur Airstrip,Aligarth,India,Asia/Kolkata
IXD,Allahabad Airport,Allahabad,India,Asia/Kolkata
ATQ,Sri Guru Ram Dass Jee International Airport Amritsar,Amritsar,India,Asia/Kolkata
AIP,Adampur Air Force Station,,India,Asia/Kolkata
BKB,Nal Airport,Bikaner,India,Asia/Kolkata
KUU,Kullu Manali Airport,,India,Asia/Kolkata
BUP,Bhatinda Air Force Station,,India,Asia/Kolkata
BEK,Bareilly Air Force Station,,India,Asia/Kolkata
IXC,Chandigarh Airport,Chandigarh,India,Asia/Kolkata
DED,Dehradun Airport,Dehradun,India,Asia/Kolkata
DEL,Indira Gandhi International Airport,New Delhi,India,Asia/Kolkata
HDO,Hindon Air Force Station,,India,Asia/Kolkata
DHM,Kangra Airport,,India,Asia/Kolkata
GWL,Gwalior Airport,Gwalior,India,Asia/Kolkata
HSS,Hissar Airport,,India,Asia/Kolkata
JDH,Jodhpur Airport,Jodhpur,India,Asia/Kolkata
JAI,Jaipur International Airport,Jaipur,India,Asia/Kolkata
JSA,Jaisalmer Airport,,India,Asia/Kolkata
IXJ,Jammu Airport,Jammu,India,Asia/Kolkata
KQH,Kishangarh Airport, Ajmer,Kishangarh,India,Asia/Kolkata
KTU,Kota Airport,,India,Asia/Kolkata
LUH,Ludhiana Airport,,India,Asia/Kolkata
IXL,Leh Kushok Bakula Rimpochee Airport,Leh,India,Asia/Kolkata
LKO,Chaudhary Charan Singh International Airport,Lucknow,India,Asia/Kolkata
DXN,Noida International Airport,Noida,India,Asia/Kolkata
IXP,Pathankot Air Force Station,,India,Asia/Kolkata
PGH,Pantnagar Airport,Pantnagar,India,Asia/Kolkata
SLV,Shimla Airport,,India,Asia/Kolkata
SXR,Sheikh ul Alam Airport,Srinagar,India,Asia/Kolkata
TNI,Satna Airport,,India,Asia/Kolkata
VSV,Shravasti Airport,Shravasti,India,Asia/Kolkata
AGX,Agatti Airport,,India,Asia/Kolkata
BEP,Bellary Airport,Bellary,India,Asia/Kolkata
BLR,Bengaluru International Airport,Bangalore,India,Asia/Kolkata
VGA,Vijayawada Airport,,India,Asia/Kolkata
CJB,Coimbatore International Airport,Coimbatore,India,Asia/Kolkata
COK,Cochin International Airport,Cochin,India,Asia/Kolkata
CCJ,Calicut International Airport,Calicut,India,Asia/Kolkata
CDP,Cuddapah Airport,,India,Asia/Kolkata
CBD,Car Nicobar Air Force Station,,India,Asia/Kolkata
GOX,Manohar International Airport,Mopa,India,Asia/Kolkata
GBI,Gulbarga Kalaburagi Airport,Kalaburagi,India,Asia/Kolkata
GOI,Dabolim Airport,Dabolim,India,Asia/Kolkata
HYD,Rajiv Gandhi International Airport Shamshabad,Hyderabad,India,Asia/Kolkata
BPM,Begumpet Airport,Hyderabad,India,Asia/Kolkata
VDY,Vijayanagar Aerodrome (JSW),,India,Asia/Kolkata
CNN,Kannur International Airport,Mattanur,India,Asia/Kolkata
KJB,Kurnool Airport,Kurnool,India,Asia/Kolkata
IXM,Madurai Airport,Madurai,India,Asia/Kolkata
IXE,Mangalore International Airport,Mangalore,India,Asia/Kolkata
MAA,Chennai International Airport,Chennai,India,Asia/Kolkata
MYQ,Mysore Airport,Mysore,India,Asia/Kolkata
IXZ,Vir Savarkar International Airport,Port Blair,India,Asia/Kolkata
PNY,Pondicherry Airport,,India,Asia/Kolkata
RJA,Rajahmundry Airport,Rajahmundry,India,Asia/Kolkata
RQY,Shivamogga Airport,Shimoga,India,Asia/Kolkata
SXV,Salem Airport,,India,Asia/Kolkata
TJV,Tanjore Air Force Base,Thanjavur,India,Asia/Kolkata
TCR,Tuticorin Airport,Thoothukkudi,India,Asia/Kolkata
TIR,Tirupati Airport,Tirupati,India,Asia/Kolkata
TRZ,Tiruchirapally Civil Airport,Tiruchirappally,India,Asia/Kolkata
TRV,Trivandrum International Airport,Trivandrum,India,Asia/Kolkata
VTZ,Vishakhapatnam Airport,Visakhapatnam,India,Asia/Kolkata
WGC,Warangal Airport,Warrangal,India,Asia/Kolkata
